LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER
124224614	124224614	101	1	123745231	10	113	103	0	2023-08-17 16:03:24	41.3	0	0	0	251522	124224614	59106222	197168	123745231	6	MAHSUP	58522082	124224613	46	5013
124225023	124225023	101	1	123745231	174	113	103	0	2023-08-17 16:23:32	60.7	0	0	0	251522	124225023	59106222	197168	123745231	32	PAY	\N	\N	521	26768534
103663287	103663287	101	1	103493529	174	113	103	0	2021-05-03 10:34:50	663	0	0	0	251522	103663287	48339599	197168	103493529	16	PAY	\N	\N	540	17860376
125127528	125127528	101	1	124936983	174	113	103	0	2023-10-06 14:21:57	110	0	0	0	251522	125127528	60025691	197168	124936983	32	PAY	\N	\N	521	26917786
126083447	126083447	101	1	125482642	174	113	103	0	2023-11-25 12:51:22	203	0	0	0	251522	126083447	60443718	197168	125482642	32	PAY	\N	\N	521	27132241
126179563	126179563	101	1	125993012	174	113	103	0	2023-11-30 10:08:22	552	0	0	0	251522	126179563	123780944	197168	125993012	32	PAY	\N	\N	521	27166221
104497823	104497823	101	1	104226580	174	113	103	0	2021-06-07 10:37:25	231	0	0	0	251522	104497823	48711348	197168	104226580	16	PAY	\N	\N	540	18212310
126997332	126997332	101	1	126748999	174	113	103	0	2023-12-31 09:20:49	1623	0	0	0	251522	126997332	124228262	197168	126748999	32	PAY	\N	\N	521	27503370
105112234	105112234	101	1	104912440	174	113	103	0	2021-07-01 10:32:19	112	0	0	0	251522	105112234	49080742	197168	104912440	16	PAY	\N	\N	540	18515460
128645885	128645885	101	1	128352010	174	113	103	0	2024-03-01 09:59:40	4198	0	0	0	251522	128645885	125088194	197168	128352010	32	PAY	\N	\N	521	28243930
129444003	129444003	101	1	129190688	174	113	103	0	2024-03-31 07:30:01	1895	0	0	0	251522	129444003	125536966	197168	129190688	32	PAY	\N	\N	521	28587140
105919064	105919064	101	1	105695440	174	113	103	0	2021-08-06 10:36:16	98	0	0	0	251522	105919064	49466946	197168	105695440	16	PAY	\N	\N	540	18860965
130209289	130209289	101	1	129986461	174	113	103	0	2024-04-30 09:07:42	1051	0	0	0	251522	130209289	125972701	197168	129986461	32	PAY	\N	\N	521	28907398
131005633	131005633	101	1	130798337	174	113	103	0	2024-05-30 09:46:43	942	0	0	0	251522	131005633	126397260	197168	130798337	32	PAY	\N	\N	521	29261846
131802132	131802132	101	1	131588285	174	113	103	0	2024-06-30 21:13:20	317	0	0	0	251522	131802132	126814146	197168	131588285	32	PAY	\N	\N	521	29609761
106481056	106481056	101	1	106310273	174	113	103	0	2021-08-31 10:41:48	53	0	0	0	251522	106481056	49803656	197168	106310273	16	PAY	\N	\N	540	19121359
132533391	132533391	101	1	132367385	174	113	103	0	2024-07-30 09:43:50	187	0	0	0	251522	132533391	127213529	197168	132367385	32	PAY	\N	\N	521	29948862
133333306	133333306	101	1	133123516	174	113	103	0	2024-08-30 07:59:39	191	0	0	0	251522	133333306	127622557	197168	133123516	32	PAY	\N	\N	521	30305750
