AGR_ID|open_rows|open_amt
233750|144|22863.12
129101|9|22824.00
135917|6|22758.00
343726|24|22710.00
376312|132|22695.72
26533|90|22692.30
140030|6|22692.00
505323|18|22656.00
81825|12|22656.00
80463|9|22644.00
180508|24|22638.00
356703|18|22632.00
437992|132|22594.32
141957|18|22590.00
78321|165|22551.75
157210|216|22525.20
121388|6|22506.00
105780|18|22506.00
221207|6|22500.00
198796|12|22500.00
65207|180|22498.05
151200|18|22464.00
65127|12|22422.00
351122|144|22366.20
87139|9|22356.00
160167|6|22326.00
166313|12|22308.00
68087|15|22296.00
415671|216|22272.84
105489|18|22272.00
254151|144|22242.48
70470|6|22236.00
468127|72|22228.44
180253|165|22216.20
51904|132|22215.96
72293|12|22176.00
511143|18|22167.00
330030|132|22145.88
118907|132|22091.04
188874|12|22074.00
518888|18|22026.00
161428|12|22026.00
159654|6|22023.00
452112|120|21968.64
59184|198|21962.88
22105|144|21927.00
208908|12|21924.00
419416|84|21912.72
251423|156|21858.48
315923|144|21831.00
131082|27|21807.00
44983|18|21765.00
51037|165|21754.35
104915|18|21744.00
125626|9|21690.00
144876|6|21681.00
382453|3|21678.00
255526|36|21672.00
124286|144|21662.88
152879|6|21660.00
164150|18|21618.00
250751|18|21612.00
113350|128|21551.84
93960|144|21547.68
33785|24|21547.26
570921|4|21536.40
68537|12|21516.00
157196|180|21492.18
145867|18|21492.00
113805|6|21480.00
81712|12|21444.00
154068|6|21444.00
78958|162|21442.50
275171|6|21432.00
134348|12|21396.00
16152|100|21368.20
207313|176|21340.00
191653|3|21309.00
513506|126|21301.08
290350|144|21299.04
330744|120|21285.00
91884|126|21284.64
68881|198|21282.84
393957|144|21280.20
274454|6|21264.00
326423|132|21232.56
66281|162|21210.48
182168|180|21187.80
216156|18|21174.00
39304|99|21167.08
377603|72|21148.68
66432|18|21147.30
117518|168|21131.04
647279|9|21122.01
138581|150|21108.60
253859|84|21103.32
466976|156|21093.90
349515|12|21090.00
743056|4|21082.36
391986|132|21081.24
94566|18|21060.00
112827|216|21043.26
503012|102|21019.74
458334|96|20961.48
231316|132|20937.00
213666|132|20925.84
94793|152|20882.14
430747|120|20879.52
408964|6|20874.00
6886|132|20868.36
112192|12|20862.00
325856|6|20844.00
106686|27|20835.00
100870|6|20814.00
188934|6|20808.00
314717|120|20805.72
153949|6|20778.00
148539|18|20736.00
263013|144|20724.36
96755|27|20682.00
131880|128|20659.04
76767|12|20640.00
115689|95|20619.75
325085|132|20618.16
426734|96|20616.84
106774|9|20601.00
150816|12|20574.00
310741|12|20568.00
506053|12|20544.00
250582|108|20527.68
240426|18|20526.00
186714|198|20518.38
173016|6|20478.00
161077|12|20478.00
299937|144|20461.32
310480|144|20442.72
158756|48|20416.26
57134|24|20370.00
249280|9|20358.00
21414|144|20322.12
136927|9|20322.00
123312|15|20316.00
11764|132|20307.00
354702|6|20298.00
455903|45|20286.00
78094|119|20279.98
69805|24|20277.00
